hazard_category,hazard_type,country,components,responsible_agency,iso3
Geological,Earthquake,Regional,"C1,C2,C4",UWI SRC,
Geological,Tsunami,Regional,"C1,C3,C4",UNESCO-IOC led ICG/ CARIBE EWS,
Geological,Volcanic Eruption,Regional,"C1,C2,C3,C4",UWI SRC,
Geological,Landslide,Regional,C1,CDEMA,
Geological,Tsunami,Anguilla,C3,Department of Disaster Management,AIA
Geological,Earthquake,Antigua & Barbuda,C2,National Office of Disaster Services,ATG
Geological,Tsunami,Antigua & Barbuda,C3,National Office of Disaster Services,ATG
Geological,Tsunami,The Bahamas,C3,National Emergency Management Agency,BHS
Geological,Earthquake,Barbados,C2,Government Telecommunications Unit/ Department of Emergency Management,BRB
Geological,Tsunami,Barbados,C3,Department of Emergency Management,BRB
Geological,Tsunami,Belize,C3,National Emergency Management Organisation,BLZ
Geological,Tsunami,The British Virgin Islands,C3,Department of Disaster Management,VGB
Geological,Tsunami,The Cayman Islands,C3,Hazard Management Cayman Islands,CYM
Geological,Earthquake,Dominica,C1,Physical Planning Division,DMA
Geological,Tsunami,Dominica,C1,Physical Planning Division,DMA
Geological,Tsunami,Dominica,C3,Office of Disaster Management,DMA
Geological,Volcanic Eruption,Dominica,C1,Physical Planning Division,DMA
Geological,Volcanic Eruption,Dominica,C3,Office of Disaster Management,DMA
Geological,Landslide,Dominica,C1,Physical Planning Division,DMA
Geological,Earthquake,Grenada,C2,National Disaster Management Agency,GRD
Geological,Tsunami,Grenada,C3,National Disaster Management Agency,GRD
Geological,Volcanic Eruption,Grenada,C1,UWI SRC,GRD
Geological,Volcanic Eruption,Grenada,C3,National Disaster Management Agency,GRD
Geological,Landslide,Grenada,C1,"CRIS, CDEMA",GRD
Geological,Tsunami,Guyana,C3,Civil Defence Commission,GUY
Geological,Landslide,Guyana,C1,Civil Defence Commission,GUY
Geological,Earthquake,Haiti,C2,"Seismology Technical Unit, Office of Mines & Energy in the Ministry of Public Works, Transportation, Communications & Energy",HTI
Geological,Tsunami,Haiti,C3,Department of Civil Protection,HTI
Geological,Earthquake,Jamaica,"C1,C2,C3","Earthquake Unit, UWI Mona",JAM
Geological,Tsunami,Jamaica,C3,Office of Disaster Preparedness & Emergency Management,JAM
Geological,Landslide,Jamaica,C1,UWI Mona,JAM
Geological,Tsunami,Montserrat,C3,Disaster Management Coordination Agency,MSR
Geological,Volcanic Eruption,Montserrat,C1,UWI SRC,MSR
Geological,Volcanic Eruption,Montserrat,C3,Disaster Management Coordination Agency,MSR
Geological,Tsunami,St. Kitts & Nevis,C3,National Emergency Management Agency,KNA
Geological,Volcanic Eruption,St. Kitts & Nevis,C1,UWI SRC,KNA
Geological,Volcanic Eruption,St. Kitts & Nevis,C3,National Emergency Management Agency,KNA
Geological,Tsunami,Saint Lucia,C3,National Emergency Management Organisation,LCA
Geological,Landslide,Saint Lucia,C1,"CRIS, CDEMA",LCA
Geological,Tsunami,St. Vincent & the Grenadines,C3,National Emergency Management Organisation,VCT
Geological,Volcanic Eruption,St. Vincent & the Grenadines,"C1,C3",National Emergency Management Organisation,VCT
Geological,Landslide,St. Vincent & the Grenadines,C1,"CRIS, CDEMA",VCT
Geological,Tsunami,Suriname,C3,National Coordination Centre for Disaster Relief,SUR
Geological,Tsunami,Trinidad & Tobago,C3,Office of Disaster Preparedness & Management/ Tobago Emergency Management Agency,TTO
Geological,Landslide,Trinidad & Tobago,C1,Office of Disaster Preparedness & Management,TTO
Geological,Earthquake,Turks & Caicos,C2,Department of Disaster Management & Emergencies,TCA
Geological,Tsunami,Turks & Caicos,C3,Department of Disaster Management & Emergencies,TCA
Hydrometeorological,Tropical Cyclone/ Tornado,Regional,,CMO,
Hydrometeorological,Tropical Cyclone/ Tornado,Regional,"C1,C2",CIMH,
Hydrometeorological,Flood,Regional,,CMO,
Hydrometeorological,Flood,Regional,"C1,C2",CIMH,
Hydrometeorological,Storm Surge,Regional,,CMO,
Hydrometeorological,Storm Surge,Regional,"C1,C2",CIMH,
Hydrometeorological,Drought,Regional,"C1,C2",CIMH,
Hydrometeorological,Drought,Regional,"C2,C3",CARDI,
Hydrometeorological,Tropical Cyclone/ Tornado,Antigua & Barbuda,"C2,C3",Antigua Meteorological Service,ATG
Hydrometeorological,Flood,Antigua & Barbuda,"C2,C3",Antigua Meteorological Service,ATG
Hydrometeorological,Storm Surge,Antigua & Barbuda,"C2,C3",Antigua Meteorological Service,ATG
Hydrometeorological,Drought,Antigua & Barbuda,"C2,C3",Antigua & Barbuda Meteorological Service,ATG
Hydrometeorological,Heat & Cold Wave,Antigua & Barbuda,"C2,C3",Antigua Meteorological Service,ATG
Hydrometeorological,Tropical Cyclone/ Tornado,The Bahamas,"C2,C3",The Bahamas Department of Meteorology,BHS
Hydrometeorological,Flood,The Bahamas,"C2,C3",The Bahamas Department of Meteorology,BHS
Hydrometeorological,Storm Surge,The Bahamas,"C2,C3",The Bahamas Department of Meteorology,BHS
Hydrometeorological,Drought,The Bahamas,"C2,C3",The Bahamas Department of Meteorology,BHS
Hydrometeorological,Heat & Cold Wave,The Bahamas,"C2,C3",The Bahamas Department of Meteorology,BHS
Hydrometeorological,Tropical Cyclone/ Tornado,Barbados,"C2,C3",Barbados Meteorological Service,BRB
Hydrometeorological,Flood,Barbados,"C2,C3",Barbados Meteorological Service,BRB
Hydrometeorological,Storm Surge,Barbados,"C2,C3",Barbados Meteorological Service,BRB
Hydrometeorological,Drought,Barbados,C3,Barbados Meteorological Service,BRB
Hydrometeorological,Cloudburst,Barbados,"C2,C3",Barbados Meteorological Service,BRB
Hydrometeorological,Heat & Cold Wave,Barbados,"C2,C3",Barbados Meteorological Service,BRB
Hydrometeorological,Tropical Cyclone/ Tornado,Belize,"C2,C3",National Meteorological Service of Belize,BLZ
Hydrometeorological,Flood,Belize,"C1,C2,C3","National Meteorological Service of Belize/ CRIS, CDEMA",BLZ
Hydrometeorological,Storm Surge,Belize,"C1,C2,C3","National Meteorological Service of Belize/ CRIS, CDEMA",BLZ
Hydrometeorological,Drought,Belize,"C2,C3",National Meteorological Service of Belize,BLZ
Hydrometeorological,Cloudburst,Belize,"C2,C3",National Meteorological Service of Belize,BLZ
Hydrometeorological,Heat & Cold Wave,Belize,"C2,C3",National Meteorological Service of Belize,BLZ
Hydrometeorological,Tropical Cyclone/ Tornado,The Cayman Islands,"C2,C3",National Weather Service,CYM
Hydrometeorological,Flood,The Cayman Islands,"C2,C3",National Weather Service,CYM
Hydrometeorological,Storm Surge,The Cayman Islands,"C2,C3",National Weather Service,CYM
Hydrometeorological,Drought,The Cayman Islands,"C2,C3",National Weather Service,CYM
Hydrometeorological,Heat & Cold Wave,The Cayman Islands,"C2,C3",National Weather Service,CYM
Hydrometeorological,Tropical Cyclone/ Tornado,Dominica,"C2,C3",Dominica Meteorological Service,DMA
Hydrometeorological,Flood,Dominica,"C1,C2,C3","Dominica Meteorological Service/ CRIS, CDEMA",DMA
Hydrometeorological,Storm Surge,Dominica,"C1,C2,C3","Dominica Meteorological Service/ CRIS, CDEMA",DMA
Hydrometeorological,Drought,Dominica,"C2,C3",Dominica Meteorological Service,DMA
Hydrometeorological,Landslide,Dominica,C1,Physical Planning Division,DMA
Hydrometeorological,Heat & Cold Wave,Dominica,"C2,C3",Dominica Meteorological Service,DMA
Hydrometeorological,Tropical Cyclone/ Tornado,Grenada,"C2,C3",Grenada Meteorological Service,GRD
Hydrometeorological,Flood,Grenada,"C2,C3",Grenada Meteorological Service,GRD
Hydrometeorological,Storm Surge,Grenada,"C2,C3",Grenada Meteorological Service,GRD
Hydrometeorological,Drought,Grenada,"C2,C3",Grenada Meteorological Service,GRD
Hydrometeorological,Landslide,Grenada,C1,"CRIS, CDEMA",GRD
Hydrometeorological,Heat & Cold Wave,Grenada,"C2,C3",Grenada Meteorological Service,GRD
Hydrometeorological,Tropical Cyclone/ Tornado,Guyana,"C2,C3",Hydrometeorological Service,GUY
Hydrometeorological,Flood,Guyana,"C2,C3",Hydrometeorological Service,GUY
Hydrometeorological,Storm Surge,Guyana,"C2,C3",Hydrometeorological Service,GUY
Hydrometeorological,Drought,Guyana,"C2,C3",Hydrometeorological Service,GUY
Hydrometeorological,Cloudburst,Guyana,"C2,C3",Hydrometeorological Service,GUY
Hydrometeorological,Heat & Cold Wave,Guyana,"C2,C3",Hydrometeorological Service,GUY
Hydrometeorological,Tropical Cyclone/ Tornado,Haiti,C3,National Meteorological & Hydrological Service,HTI
Hydrometeorological,Flood,Haiti,C3,National Meteorological & Hydrological Service,HTI
Hydrometeorological,Storm Surge,Haiti,C3,National Meteorological & Hydrological Service,HTI
Hydrometeorological,Drought,Haiti,C3,National Meteorological & Hydrological Service,HTI
Hydrometeorological,Tropical Cyclone/ Tornado,Jamaica,"C2,C3",Meteorological Service of Jamaica,JAM
Hydrometeorological,Flood,Jamaica,"C2,C3",Meteorological Service of Jamaica,JAM
Hydrometeorological,Storm Surge,Jamaica,"C2,C3",Meteorological Service of Jamaica,JAM
Hydrometeorological,Drought,Jamaica,C3,Meteorological Service of Jamaica,JAM
Hydrometeorological,Landslide,Jamaica,C1,"UWI, Mona",JAM
Hydrometeorological,Heat & Cold Wave,Jamaica,"C2,C3",Meteorological Service of Jamaica,JAM
Hydrometeorological,Tropical Cyclone/ Tornado,Saint Lucia,"C2,C3",Saint Lucia Meteorological Services,LCA
Hydrometeorological,Flood,Saint Lucia,C1,"CRIS, CDEMA",LCA
Hydrometeorological,Flood,Saint Lucia,"C2,C3",Saint Lucia Meteorological Services,LCA
Hydrometeorological,Storm Surge,Saint Lucia,"C2,C3",Saint Lucia Meteorological Services,LCA
Hydrometeorological,Landslide,Saint Lucia,C1,"CRIS, CDEMA",LCA
Hydrometeorological,Heat & Cold Wave,Saint Lucia,"C2,C3",Saint Lucia Meteorological Services,LCA
Hydrometeorological,Tropical Cyclone/ Tornado,St. Vincent & the Grenadines,"C2,C3",Meteorological Service Saint Vincent & the Grenadines,VCT
Hydrometeorological,Flood,St. Vincent & the Grenadines,"C2,C3",Meteorological Service Saint Vincent & the Grenadines,VCT
Hydrometeorological,Storm Surge,St. Vincent & the Grenadines,"C2,C3",Meteorological Service Saint Vincent & the Grenadines,VCT
Hydrometeorological,Drought,St. Vincent & the Grenadines,C3,Meteorological Service Saint Vincent & the Grenadines,VCT
Hydrometeorological,Landslide,St. Vincent & the Grenadines,C1,"CRIS, CDEMA",VCT
Hydrometeorological,Heat & Cold Wave,St. Vincent & the Grenadines,"C2,C3",Meteorological Service Saint Vincent & the Grenadines,VCT
Hydrometeorological,Tropical Cyclone/ Tornado,Suriname,"C2,C3",Suriname Meteorological Service,SUR
Hydrometeorological,Flood,Suriname,"C2,C3",Suriname Meteorological Service,SUR
Hydrometeorological,Storm Surge,Suriname,"C2,C3",Suriname Meteorological Service,SUR
Hydrometeorological,Drought,Suriname,C3,Suriname Meteorological Service,SUR
Hydrometeorological,Cloudburst,Suriname,"C2,C3",Suriname Meteorological Service,SUR
Hydrometeorological,Heat & Cold Wave,Suriname,"C2,C3",Suriname Meteorological Service,SUR
Hydrometeorological,Tropical Cyclone/ Tornado,Trinidad & Tobago,"C2,C3",Trinidad & Tobago Meteorological Services,TTO
Hydrometeorological,Flood,Trinidad & Tobago,C1,ODPM,TTO
Hydrometeorological,Flood,Trinidad & Tobago,"C2,C3",Trinidad & Tobago Meteorological Services,TTO
Hydrometeorological,Storm Surge,Trinidad & Tobago,"C2,C3",Trinidad & Tobago Meteorological Services,TTO
Hydrometeorological,Drought,Trinidad & Tobago,C3,Trinidad & Tobago Meteorological Services,TTO
Hydrometeorological,Landslide,Trinidad & Tobago,C1,ODPM,TTO
Hydrometeorological,Heat & Cold Wave,Trinidad & Tobago,"C2,C3",Trinidad & Tobago Meteorological Services,TTO
Environmental,Deforestation,Regional,C2,CCCCC,
Environmental,Land & Soil Degradation,Regional,"C1,C2",CCCCC/CIMH,
Environmental,Biodiversity Loss,Regional,"C1,C2",CCCCC/CIMH,
Environmental,Environmental Pollution,Regional,C2,"CARPHA, CERMES, CIMH",
Environmental,Environmental Pollution,Regional,C3,CERMES,
Environmental,Deforestation,Anguilla,C2,Department of Environment,AIA
Environmental,Land & Soil Degradation,Anguilla,C2,Department of Environment,AIA
Environmental,Biodiversity Loss,Anguilla,C2,Department of Environment,AIA
Environmental,Deforestation,Antigua & Barbuda,C2,Department of Environment,ATG
Environmental,Deforestation,Antigua & Barbuda,C2,Forestry Division,ATG
Environmental,Land & Soil Degradation,Antigua & Barbuda,C2,Department of Environment,ATG
Environmental,Land & Soil Degradation,Antigua & Barbuda,C2,Development Control Authority,ATG
Environmental,Biodiversity Loss,Antigua & Barbuda,C2,Department of Environment,ATG
Environmental,Biodiversity Loss,Antigua & Barbuda,C2,Development Control Authority,ATG
Environmental,Environmental Pollution,Antigua & Barbuda,C2,Department of Environment,ATG
Environmental,Deforestation,The Bahamas,C2,Department of Forestry,BHS
Environmental,Biodiversity Loss,The Bahamas,C2,Department of Forestry,BHS
Environmental,Environmental Pollution,The Bahamas,C2,Department of Environmental Health Services,BHS
Environmental,Land & Soil Degradation,Barbados,C2,Ministry of Environment & National Beautification,BRB
Environmental,Biodiversity Loss,Barbados,C2,Ministry of Environment & National Beautification,BRB
Environmental,Biodiversity Loss,Barbados,C2,Coastal Zone Management Unit,BRB
Environmental,Environmental Pollution,Barbados,C2,Environmental Protection Department,BRB
Environmental,Environmental Pollution,Barbados,C2,Sanitation Services Authority,BRB
Environmental,Environmental Pollution,Barbados,C3,Barbados Government Information Service,BRB
Environmental,Deforestation,Belize,C2,Belize Forest Department/ Non-governmental organisations,BLZ
